Year,Month,Name,ProductCount
2014,3,"HL Road Frame - Red, 62",6
2013,4,"Road-650 Black, 48",1
2013,9,Touring Tire,1
2012,7,HL Road Rear Wheel,20
2013,11,"Mountain-200 Silver, 42",4
2012,7,"Mountain-200 Silver, 46",2
2013,8,Road Bottle Cage,5
2013,1,"Road-650 Black, 60",1
2014,1,Mountain Tire Tube,10
2013,9,LL Road Tire,4
2014,4,"Mountain-400-W Silver, 40",2
2013,11,"Long-Sleeve Logo Jersey, L",1
2011,12,"Road-150 Red, 52",1
2012,5,"Mountain-100 Silver, 42",1
2014,3,Touring Tire Tube,6
2014,1,"Mountain-200 Black, 42",1
2013,10,Fender Set - Mountain,3
2014,3,"Mountain-400-W Silver, 46",2
2014,2,Mountain Bottle Cage,5
2013,1,"Mountain-200 Black, 42",1
2014,3,LL Road Tire,3
2014,6,ML Mountain Tire,1
2013,6,"Half-Finger Gloves, L",1
2013,11,"Long-Sleeve Logo Jersey, XL",1
2013,7,"Mountain-200 Black, 38",1
2014,2,"Half-Finger Gloves, M",2
2013,11,"Road-750 Black, 44",2
2013,8,Mountain Bottle Cage,7
2014,2,"Short-Sleeve Classic Jersey, M",2
2013,9,"Mountain-500 Silver, 48",1
2014,4,"Mountain-200 Silver, 38",1
2013,10,"Sport-100 Helmet, Blue",3
2013,4,"Road-550-W Yellow, 40",1
2013,11,HL Mountain Tire,3
2014,1,AWC Logo Cap,3
2011,8,"Mountain Bike Socks, L",4
2013,7,"HL Touring Frame - Yellow, 60",24
2012,4,"Road-150 Red, 44",8
2011,10,"Road-150 Red, 56",3
2013,10,"Mountain-200 Black, 46",1
2013,12,"Road-550-W Yellow, 48",1
2013,12,"Short-Sleeve Classic Jersey, S",1
2013,1,"HL Mountain Frame - Black, 42",10
2014,3,Road Tire Tube,13
2012,3,"Road-650 Red, 48",27
2014,5,"Road-350-W Yellow, 40",2
2014,1,"Road-350-W Yellow, 42",1
2014,4,Fender Set - Mountain,9
2014,3,"Touring-3000 Blue, 50",13
2013,8,"Short-Sleeve Classic Jersey, L",2
2013,10,"Mountain-200 Silver, 38",2
2013,10,"Women's Mountain Shorts, M",2
2013,7,"Sport-100 Helmet, Black",6
2014,2,"Classic Vest, M",1
2014,4,Patch Kit/8 Patches,8
2014,3,Touring Tire,1
2012,8,"Road-650 Black, 58",1
2014,5,"Touring-1000 Yellow, 54",16
2014,3,"Women's Mountain Shorts, S",1
2013,10,"Mountain-200 Silver, 42",2
2013,12,"Half-Finger Gloves, S",3
2013,12,"Racing Socks, L",2
2013,10,HL Mountain Tire,1
2013,12,ML Road Tire,2
2014,1,"Road-350-W Yellow, 48",1
2014,1,"Classic Vest, M",2
2013,11,"Road-350-W Yellow, 44",1
2013,5,"Mountain-200 Black, 46",2
2013,9,"Women's Mountain Shorts, S",1
2012,2,"Road-450 Red, 58",13
2013,4,"Mountain-200 Silver, 42",1
2014,3,"Mountain-500 Silver, 44",1
2014,4,"Sport-100 Helmet, Blue",11
2013,11,"Touring-1000 Yellow, 54",3
2013,1,"Road-250 Red, 48",1
2013,2,"Mountain-200 Black, 42",2
2014,6,LL Mountain Tire,1
2013,12,ML Mountain Tire,2
2013,6,"Mountain-200 Silver, 46",1
2013,10,"Touring-3000 Blue, 54",1
2011,8,"HL Mountain Frame - Silver, 42",2
2014,3,"Mountain-500 Black, 48",1
2014,1,"Sport-100 Helmet, Black",1
2013,10,"Mountain-200 Silver, 38",1
2013,2,"ML Road Frame-W - Yellow, 38",13
2013,9,Bike Wash - Dissolver,3
2013,10,"Mountain-400-W Silver, 40",1
2012,10,"HL Mountain Frame - Black, 38",12
2012,5,"Road-150 Red, 62",2
2012,7,"Road-250 Black, 52",1
2014,2,"Touring-3000 Yellow, 62",1
2013,12,"Road-750 Black, 58",2
2012,9,"Sport-100 Helmet, Red",31
2014,5,"Half-Finger Gloves, S",4
2014,4,"Mountain-500 Black, 48",1
2014,4,Fender Set - Mountain,8
2014,3,"Women's Mountain Shorts, M",20
2014,2,"Mountain-500 Silver, 48",1
2012,1,"Road-150 Red, 48",1
2014,5,"Road-550-W Yellow, 38",1
2012,12,"Mountain-200 Black, 38",1
2012,6,"Road-250 Red, 58",16
2013,9,Road Tire Tube,7
2013,4,"Road-650 Red, 58",1
2014,5,"Touring-1000 Yellow, 50",2
2014,4,"Long-Sleeve Logo Jersey, XL",1
